1,0,3,"Braund, Mr. Owen Harris"
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
3,1,3,"Heikkinen, Miss. Laina"
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)"
5,0,3,"Allen, Mr. William Henry"
6,0,3,"Moran, Mr. James"
7,0,1,"McCarthy, Mr. Timothy J"
8,0,3,"Palsson, Master. Gosta Leonard"
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)"
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)"
11,1,3,"Sandstrom, Miss. Marguerite Rut"
12,1,1,"Bonnell, Miss. Elizabeth"
13,0,3,"Saundercock, Mr. William Henry"
14,0,3,"Andersson, Mr. Anders Johan"
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina"
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) "
17,0,3,"Rice, Master. Eugene"
18,1,2,"Williams, Mr. Charles Eugene"
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)"
20,1,3,"Masselmani, Mrs. Fatima"
21,0,2,"Fynney, Mr. Joseph J"
22,1,2,"Beesley, Mr. Lawrence"
23,1,3,"McGowan, Miss. Anna ""Annie"""
24,1,1,"Sloper, Mr. William Thompson"
25,0,3,"Palsson, Miss. Torborg Danira"
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)"
27,0,3,"Emir, Mr. Farred Chehab"
28,0,1,"Fortune, Mr. Charles Alexander"
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie"""
30,0,3,"Todoroff, Mr. Lalio"
31,0,1,"Uruchurtu, Don. Manuel E"
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)"
33,1,3,"Glynn, Miss. Mary Agatha"
34,0,2,"Wheadon, Mr. Edward H"
35,0,1,"Meyer, Mr. Edgar Joseph"
36,0,1,"Holverson, Mr. Alexander Oskar"
37,1,3,"Mamee, Mr. Hanna"
38,0,3,"Cann, Mr. Ernest Charles"
39,0,3,"Vander Planke, Miss. Augusta Maria"
40,1,3,"Nicola-Yarred, Miss. Jamila"
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)"
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)"
43,0,3,"Kraeff, Mr. Theodor"
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree"
45,1,3,"Devaney, Miss. Margaret Delia"
46,0,3,"Rogers, Mr. William John"
47,0,3,"Lennon, Mr. Denis"
48,1,3,"O'Driscoll, Miss. Bridget"
